regime,variant,rule,N,mean_return,median_return,win_rate,p_loss5,p_loss10,p_plus10,p_plus20,p_plus30,avg_holding_days,median_holding_days,early_exit_rate,winner10_retained,winner20_retained,winner30_retained,right_tail_capture,mean_trade_max_drawdown,false_exit_10d,recovery_above_peak_5d,recovery_above_peak_10d
LIMIT_UP,A1_ALL_LOCKED,NO_EARLY_EXIT,28926.0,0.0447927203105312,-0.0032964138650961906,0.4916683952153772,0.37903616123902373,0.23978427712092926,0.2895319090091959,0.16925948973242066,0.1055797552375026,20.0,20.0,0.0,1.0,1.0,1.0,1.0,-0.09741131394469477,,,
LIMIT_UP,A2_HIST2_LOCKED,NO_EARLY_EXIT,9141.0,0.049914177278329794,-0.01058950579150578,0.4794880210042665,0.41702220763592607,0.29526310031725195,0.3191116945629581,0.20752652882616782,0.13784049885132918,20.0,20.0,0.0,1.0,1.0,1.0,1.0,-0.11739781116122551,,,
LIMIT_UP,A3_NEAR_LIMIT_LOCKED,NO_EARLY_EXIT,1750.0,0.1258485056060769,0.0770437971821469,0.7005714285714286,0.196,0.10628571428571429,0.44,0.23085714285714284,0.136,20.0,20.0,0.0,1.0,1.0,1.0,1.0,-0.05500217790679348,,,
NORMAL,B_NORMAL_MOMENTUM,NO_EARLY_EXIT,32791.0,0.01124241465875066,-0.018604706114398493,0.42981305846116313,0.3785489921014913,0.20834985209356227,0.1944740935012656,0.09822817236436827,0.05510658412369248,20.0,20.0,0.0,1.0,1.0,1.0,1.0,-0.09081685875252722,,,
LIMIT_UP,A1_ALL_LOCKED,MA20_1D,28926.0,0.0330589802320493,-0.02353336299765821,0.4147134066237987,0.385708359261564,0.15892276844361475,0.20452188342667496,0.12652976560879486,0.08283205420728756,12.126460623660375,13.0,0.7909838899260181,0.6651940298507463,0.7230392156862745,0.7730844793713163,0.7631994247521711,-0.06061019401011835,0.3731206293706294,0.20450174825174824,0.2857954545454545
LIMIT_UP,A2_HIST2_LOCKED,MA20_1D,9141.0,0.03679311335621624,-0.03479800000000002,0.4028005688655508,0.44316814352915435,0.2455967618422492,0.23826714801444043,0.1567662181380593,0.10863144076140466,13.09058089924516,14.0,0.7784706268460782,0.7058621871786082,0.7343173431734318,0.776984126984127,0.7830860614265495,-0.07609847277180343,0.4577009555930298,0.1558459808881394,0.2477515458122541
LIMIT_UP,A3_NEAR_LIMIT_LOCKED,MA20_1D,1750.0,0.08883910463847448,0.0324016924851048,0.6428571428571429,0.19257142857142856,0.07371428571428572,0.27314285714285713,0.15142857142857144,0.1,10.395428571428571,10.0,0.7977142857142857,0.5688311688311688,0.6212871287128713,0.7184873949579832,0.7121013335334775,-0.03385814843338386,0.32736389684813755,0.45702005730659023,0.5121776504297995
NORMAL,B_NORMAL_MOMENTUM,MA20_1D,32791.0,0.007102110653789214,-0.02901107506053272,0.3309749626421884,0.35152938306242565,0.10935927541093593,0.14418590466896405,0.07578298923485102,0.04482937391357385,12.542465920526974,13.0,0.7865572870604739,0.720401442684648,0.7637379695746662,0.8079690094078583,0.7741873095689127,-0.057742864054109166,0.27845843672456577,0.1579947270471464,0.25670750620347393
LIMIT_UP,A1_ALL_LOCKED,MA20_2D,28926.0,0.034375997766576454,-0.02346466666666672,0.42335615017631195,0.39891447140980435,0.1878586738574293,0.21883426674963702,0.13672820300076055,0.08953882320403789,13.47476318882666,15.0,0.7046255963493051,0.7305074626865672,0.7965686274509803,0.8444662737393582,0.8189578122384982,-0.06966948218958896,0.3648807771563144,0.19772348150328722,0.2680796781473849
LIMIT_UP,A2_HIST2_LOCKED,MA20_2D,9141.0,0.039428812733516935,-0.03445203624382212,0.40881741603763266,0.44830981293075156,0.27535280603872664,0.2576304561864129,0.17350399299857783,0.11978995733508369,14.464609998906027,16.0,0.6877803303796084,0.783339046966061,0.8270954138112809,0.8658730158730159,0.852153545797367,-0.08741551422679947,0.4453634483855575,0.1425163034833784,0.21806903133449976
LIMIT_UP,A3_NEAR_LIMIT_LOCKED,MA20_2D,1750.0,0.08918129121739442,0.03239208264462809,0.64,0.204,0.08114285714285714,0.2765714285714286,0.15657142857142858,0.10457142857142857,11.273142857142858,13.0,0.7154285714285714,0.5948051948051948,0.6608910891089109,0.7605042016806722,0.7362602378752912,-0.039575486178581844,0.3354632587859425,0.48642172523961663,0.5335463258785943
